no,device_id,pm25,pm10,temp,humi,reg_date
3545886,D0012,13.2,13.4,16.7,51.6,2023-03-25 13:48:23.247795
3545905,D0012,13.1,13.2,16.7,51.4,2023-03-25 13:49:23.256275
3545924,D0012,13.7,14.0,16.6,50.8,2023-03-25 13:50:23.25174
3545943,D0012,13.0,13.2,16.5,50.0,2023-03-25 13:51:23.268957
3545962,D0012,13.9,14.2,16.5,50.9,2023-03-25 13:52:23.257851
3545981,D0012,13.1,13.3,16.5,50.2,2023-03-25 13:53:23.261775
3546000,D0012,14.4,14.6,16.5,50.0,2023-03-25 13:54:23.26864
3546019,D0012,12.9,12.9,16.5,51.0,2023-03-25 13:55:23.265618
3546038,D0012,13.7,13.7,16.5,50.9,2023-03-25 13:56:23.28342
3546057,D0012,13.6,13.7,16.5,51.6,2023-03-25 13:57:23.279594
3546076,D0012,13.2,13.2,16.6,50.9,2023-03-25 13:58:24.282547
3546095,D0012,12.7,12.9,16.5,52.7,2023-03-25 13:59:24.280141
3546114,D0012,13.7,14.2,16.5,52.6,2023-03-25 14:00:24.280287
3546133,D0012,13.0,13.3,16.5,52.4,2023-03-25 14:01:23.311422
3546152,D0012,13.2,13.2,16.5,51.3,2023-03-25 14:02:24.45763
3546171,D0012,14.0,14.4,16.5,52.7,2023-03-25 14:03:23.292996
3546190,D0012,14.1,14.4,16.2,51.5,2023-03-25 14:04:23.297044
3546209,D0012,12.9,12.9,16.2,51.5,2023-03-25 14:05:23.370098
3546228,D0012,13.6,13.7,16.2,51.3,2023-03-25 14:06:23.310281
3546247,D0012,13.6,13.8,16.3,50.9,2023-03-25 14:07:24.307481
3546266,D0012,13.5,13.6,16.3,51.5,2023-03-25 14:08:23.300005
3546285,D0012,13.8,14.2,16.3,52.8,2023-03-25 14:09:23.302395
3546304,D0012,12.9,13.2,16.3,53.1,2023-03-25 14:10:24.312875
3546323,D0012,13.0,13.2,16.2,50.8,2023-03-25 14:11:23.31957
3546342,D0012,12.8,12.9,16.2,50.8,2023-03-25 14:12:23.311481
3546361,D0012,13.2,13.3,16.2,50.3,2023-03-25 14:13:24.348472
3546380,D0012,13.2,13.4,16.2,51.0,2023-03-25 14:14:24.316948
3546399,D0012,13.0,13.2,16.2,51.7,2023-03-25 14:15:24.361466
3546418,D0012,14.2,14.3,16.2,51.6,2023-03-25 14:16:23.352818
3546437,D0012,13.6,13.7,16.3,52.2,2023-03-25 14:17:24.318803
3546456,D0012,12.6,12.7,16.3,52.3,2023-03-25 14:18:23.380054
3546475,D0012,13.5,13.9,16.3,51.7,2023-03-25 14:19:24.332241
3546494,D0012,14.1,14.4,16.3,51.1,2023-03-25 14:20:24.331818
