 format: day,hour,value location:81_75 Start : 20230101 
 11, 2000, 0.000000 
 11, 2100, 0.000000 
 11, 2200, 64.000000 
 11, 2300, 0.000000 
 12, 0000, 186.000000 
 12, 0100, 359.000000 
 12, 0200, 302.000000 
 12, 0300, 278.000000 
 12, 0400, 123.000000 
 12, 0500, 118.000000 
 12, 0600, 148.000000 
 12, 0700, 101.000000 
 12, 0800, 227.000000 
 12, 0900, 0.000000 
 12, 1000, 265.000000 
 12, 1100, 246.000000 
 12, 1200, 262.000000 
 12, 1300, 240.000000 
 12, 1400, 294.000000 
 12, 1500, 254.000000 
 12, 1600, 304.000000 
 12, 1700, 0.000000 
 12, 1800, 249.000000 
 12, 1900, 0.000000 
 12, 2000, 183.000000 
 12, 2100, 110.000000 
 12, 2200, 156.000000 
 12, 2300, 278.000000 
 13, 0000, 0.000000 
 13, 0100, 320.000000 
 13, 0200, 0.000000 
 13, 0300, 353.000000 
 13, 0400, 302.000000 
 13, 0500, 289.000000 
 13, 0600, 248.000000 
 13, 0700, 240.000000 
 13, 0800, 181.000000 
 13, 0900, 173.000000 
 13, 1000, 195.000000 
 13, 1100, 316.000000 
 13, 1200, 0.000000 
 13, 1300, 330.000000 
 13, 1400, 0.000000 
 13, 1500, 0.000000 
 13, 1600, 267.000000 
 13, 1700, 0.000000 
 13, 1800, 0.000000 
 13, 1900, 0.000000 
 13, 2000, 162.000000 
 13, 2100, 288.000000 
 13, 2200, 242.000000 
 13, 2300, 0.000000 
 14, 0000, 0.000000 
 14, 0100, 0.000000 
 14, 0200, 0.000000 
 14, 0300, 77.000000 
 14, 0400, 92.000000 
 14, 0500, 31.000000 
 14, 0600, 78.000000 
 14, 0700, 69.000000 
 14, 0800, 23.000000 
 14, 0900, 13.000000 
 14, 1000, 41.000000 
 14, 1100, 24.000000 
 14, 1200, 8.000000 
 14, 1300, 25.000000 
 14, 1400, 0.000000 
 14, 1500, 283.000000 
 14, 1600, 233.000000 
 14, 1700, 302.000000 
 14, 1800, 299.000000 
 14, 1900, 278.000000 
 14, 2000, 68.000000 
 14, 2100, 304.000000 
 14, 2200, 303.000000 
 14, 2300, 295.000000 
 15, 0000, 303.000000 
 15, 0100, 280.000000 
 15, 0200, 353.000000 
 15, 0300, 328.000000 
 15, 0400, 328.000000 
 15, 0500, 341.000000 
 15, 0600, 336.000000 
 15, 0700, 339.000000 
 15, 0800, 352.000000 
 15, 0900, 43.000000 
 15, 1000, 13.000000 
 15, 1100, 41.000000 
 15, 1200, 31.000000 
 15, 1300, 138.000000 
 15, 1400, 348.000000 
 15, 1500, 354.000000 
 15, 1600, 12.000000 
 15, 1700, 38.000000 
 15, 1800, 5.000000 
 15, 1900, 328.000000 
 15, 2000, 355.000000 
 15, 2100, 358.000000 
 15, 2200, 13.000000 
 15, 2300, 70.000000 
 16, 0000, 93.000000 
 16, 0100, 256.000000 
 16, 0200, 313.000000 
 16, 0300, 20.000000 
 16, 0400, 341.000000 
 16, 0500, 339.000000 
 16, 0600, 338.000000 
 16, 0700, 342.000000 
 16, 0800, 342.000000 
 16, 0900, 43.000000 
 16, 1000, 32.000000 
 16, 1100, 328.000000 
 16, 1200, 0.000000 
 16, 1300, 321.000000 
 16, 1400, 0.000000 
 16, 1500, 0.000000 
 16, 1600, 26.000000 
 16, 1700, 0.000000 
 16, 1800, 26.000000 
 16, 1900, 340.000000 
 16, 2000, 287.000000 
 16, 2100, 0.000000 
 16, 2200, 0.000000 
 16, 2300, 2.000000 
 17, 0000, 285.000000 
 17, 0100, 274.000000 
 17, 0200, 162.000000 
 17, 0300, 173.000000 
 17, 0400, 285.000000 
 17, 0500, 257.000000 
 17, 0600, 335.000000 
 17, 0700, 336.000000 
 17, 0800, 7.000000 
 17, 0900, 46.000000 
 17, 1000, 45.000000 
 17, 1100, 23.000000 
 17, 1200, 0.000000 
 17, 1300, 293.000000 
 17, 1400, 0.000000 
 17, 1500, 0.000000 
 17, 1600, 0.000000 
 17, 1700, 354.000000 
 17, 1800, 336.000000 
 17, 1900, 49.000000 
 17, 2000, 333.000000 
 17, 2100, 45.000000 
 17, 2200, 72.000000 
 17, 2300, 81.000000 
 18, 0000, 196.000000 
 18, 0100, 201.000000 
 18, 0200, 9.000000 
 18, 0300, 300.000000 
 18, 0400, 281.000000 
 18, 0500, 295.000000 
 18, 0600, 241.000000 
 18, 0700, 14.000000 
 18, 0800, 356.000000 
 18, 0900, 0.000000 
 18, 1000, 30.000000 
 18, 1100, 338.000000 
 18, 1200, 329.000000 
 18, 1300, 0.000000 
 18, 1400, 89.000000 
 18, 1500, 33.000000 
 18, 1600, 0.000000 
 18, 1700, 53.000000 
 18, 1800, 0.000000 
 18, 1900, 0.000000 
 18, 2000, 0.000000 
 18, 2100, 94.000000 
 18, 2200, 0.000000 
 18, 2300, 107.000000 
 19, 0000, 276.000000 
 19, 0100, 276.000000 
 19, 0200, 244.000000 
 19, 0300, 343.000000 
 19, 0400, 258.000000 
 19, 0500, 135.000000 
 19, 0600, 224.000000 
 19, 0700, 195.000000 
 19, 0800, 245.000000 
 19, 0900, 0.000000 
 19, 1000, 0.000000 
 19, 1100, 0.000000 
 19, 1200, 0.000000 
 19, 1300, 82.000000 
 19, 1400, 102.000000 
 19, 1500, 73.000000 
 19, 1600, 0.000000 
 19, 1700, 0.000000 
 19, 1800, 235.000000 
 19, 1900, 24.000000 
 19, 2000, 11.000000 
 19, 2100, 70.000000 
 19, 2200, 0.000000 
 19, 2300, 312.000000 
 20, 0000, 195.000000 
 20, 0100, 230.000000 
 20, 0200, 302.000000 
 20, 0300, 345.000000 
 20, 0400, 332.000000 
 20, 0500, 358.000000 
 20, 0600, 352.000000 
 20, 0700, 333.000000 
 20, 0800, 311.000000 
